word,score
not,0.020720720720720766
great,0.01261261261261264
t,0.011711711711711736
work,0.011711711711711736
money,0.00990990990990993
ipod,0.009009009009009028
your,0.009009009009009028
how,0.009009009009009028
never,0.009009009009009028
well,0.009009009009009028
buy,0.00630630630630632
my,0.00630630630630632
good,0.00630630630630632
product,0.005405405405405417
you,0.004504504504504514
value,0.003603603603603611
sound,0.003603603603603611
very,0.003603603603603611
price,0.003603603603603611
easy,0.0027027027027027085
use,0.0027027027027027085
i_have,0.0018018018018018055
problem,0.0018018018018018055
like,0.0018018018018018055
used,0.0018018018018018055
works,0.0018018018018018055
fine,0.0009009009009009028
other,0.0009009009009009028
recommend,0.0009009009009009028
with_my,0.0009009009009009028
love,0.0009009009009009028
i_am,0.0009009009009009028
great_product,0.0009009009009009028
worth,0.0009009009009009028
best,0.0009009009009009028
card,0.0009009009009009028
if_you,0.0009009009009009028
works_great,0.0009009009009009028
s,0.0009009009009009028
fast,0.0009009009009009028
no,0.0009009009009009028
excellent,0.0009009009009009028
they,0.0009009009009009028
cable,0.0009009009009009028
ve,0.0
too,0.0
unit,0.0
back,0.0
got,0.0
a_great,0.0
perfect,0.0
little,0.0
much,0.0
go,0.0
far,0.0
i,0.0
mouse,0.0
because,0.0
to_get,0.0
bought_this,0.0
printer,0.0
the_sound,0.0
happy,0.0
we,0.0
cd,0.0
drive,0.0
i_had,0.0
is_not,0.0
even,0.0
waste,0.0
thing,0.0
case,0.0
did_not,0.0
bad,0.0
hp,0.0
i_would,0.0
that_i,0.0
me,0.0
problems,0.0
out,0.0
better,0.0
time,0.0
only,0.0
them,0.0
if,0.0
when,0.0
about,0.0
i_bought,0.0
phone,0.0
bought,0.0
get,0.0
just,0.0
so,0.0
quality,0.0
one,0.0
all,0.0
was,0.0
item,0.0
really,0.0
now,0.0
after,0.0
camera,0.0
not_work,0.0
using,0.0
this_product,0.0
some,0.0
then,0.0
does_not,0.0
amazon,0.0
worked,0.0
nice,0.0
more,0.0
what,0.0
m,0.0
and_i,0.0
to_use,0.0
easy_to,0.0
than,0.0
the_price,0.0
memory,0.0
system,0.0
