word,score
not,0.028828828828828847
great,0.01981981981981985
work,0.011711711711711736
using,0.009009009009009028
like,0.008108108108108126
easy,0.008108108108108126
use,0.008108108108108126
easy_to,0.007207207207207222
price,0.005405405405405417
works,0.005405405405405417
you,0.004504504504504514
excellent,0.004504504504504514
out,0.003603603603603611
very,0.003603603603603611
then,0.0027027027027027085
never,0.0018018018018018055
money,0.0018018018018018055
unit,0.0018018018018018055
now,0.0018018018018018055
better,0.0018018018018018055
product,0.0018018018018018055
really,0.0018018018018018055
the_sound,0.0018018018018018055
fast,0.0018018018018018055
waste,0.0018018018018018055
time,0.0009009009009009028
thing,0.0009009009009009028
them,0.0009009009009009028
if,0.0009009009009009028
that_i,0.0009009009009009028
the_price,0.0009009009009009028
i_have,0.0009009009009009028
m,0.0009009009009009028
good,0.0009009009009009028
value,0.0009009009009009028
go,0.0
little,0.0
i,0.0
if_you,0.0
perfect,0.0
much,0.0
got,0.0
far,0.0
back,0.0
too,0.0
ve,0.0
love,0.0
best,0.0
a_great,0.0
drive,0.0
case,0.0
problem,0.0
because,0.0
to_get,0.0
bought_this,0.0
printer,0.0
happy,0.0
we,0.0
works_great,0.0
cd,0.0
other,0.0
mouse,0.0
i_had,0.0
great_product,0.0
with_my,0.0
how,0.0
is_not,0.0
even,0.0
problems,0.0
did_not,0.0
bad,0.0
hp,0.0
i_would,0.0
camera,0.0
me,0.0
cable,0.0
well,0.0
item,0.0
your,0.0
card,0.0
bought,0.0
s,0.0
sound,0.0
get,0.0
just,0.0
buy,0.0
no,0.0
so,0.0
they,0.0
quality,0.0
one,0.0
all,0.0
was,0.0
t,0.0
my,0.0
phone,0.0
about,0.0
when,0.0
only,0.0
this_product,0.0
some,0.0
does_not,0.0
amazon,0.0
fine,0.0
worth,0.0
nice,0.0
memory,0.0
recommend,0.0
not_work,0.0
more,0.0
what,0.0
ipod,0.0
and_i,0.0
to_use,0.0
than,0.0
i_am,0.0
after,0.0
worked,0.0
i_bought,0.0
used,0.0
system,0.0
